number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_batch_size,params_learning_rate_init,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_n_units_l3,state
89,0.863223043645718,2026-07-26 06:58:34.005795,2026-07-26 06:59:15.686984,0 days 00:00:41.681189,relu,0.009994538992321425,256,0.0012101850744856164,2,160,320.0,,,COMPLETE
90,0.8737559571555449,2026-07-26 06:59:15.710717,2026-07-26 07:00:10.101557,0 days 00:00:54.390840,relu,3.657132485622959e-05,64,0.00028645421258947554,3,192,64.0,64.0,,COMPLETE
91,0.8588511347055711,2026-07-26 07:00:10.125475,2026-07-26 07:00:27.835202,0 days 00:00:17.709727,relu,0.0059253176073967954,64,0.0016080958369383968,1,160,,,,COMPLETE
92,0.874208051124935,2026-07-26 07:00:27.865041,2026-07-26 07:01:20.777126,0 days 00:00:52.912085,relu,0.00010091384247525429,64,0.0021119883412370317,2,160,192.0,,,COMPLETE
93,0.8673191628609661,2026-07-26 07:01:20.814691,2026-07-26 07:01:41.215366,0 days 00:00:20.400675,relu,0.0004062313100328594,64,0.0030301667406887204,1,128,,,,COMPLETE
94,0.8821615014218027,2026-07-26 07:01:41.246517,2026-07-26 07:02:58.138604,0 days 00:01:16.892087,relu,0.0018051883279782926,64,0.0007156189411687614,2,224,128.0,,,COMPLETE
95,0.8725477599286293,2026-07-26 07:02:58.161284,2026-07-26 07:03:32.808141,0 days 00:00:34.646857,relu,0.0002549318131040591,64,0.004343033321527979,2,96,160.0,,,COMPLETE
96,0.7951824945329697,2026-07-26 07:03:32.835401,2026-07-26 07:03:44.614009,0 days 00:00:11.778608,tanh,0.18229367817159875,64,0.0009763011126569177,1,192,,,,COMPLETE
97,0.8661415533739212,2026-07-26 07:03:44.638827,2026-07-26 07:04:39.690287,0 days 00:00:55.051460,relu,1.133442188561084e-06,64,0.0005765852685484451,2,160,256.0,,,COMPLETE
98,0.8600732860542598,2026-07-26 07:04:39.714145,2026-07-26 07:04:53.403504,0 days 00:00:13.689359,relu,6.955586214073044e-05,128,0.0012825670260434103,1,128,,,,COMPLETE
99,0.8464662197881745,2026-07-26 07:04:53.442419,2026-07-26 07:05:30.895625,0 days 00:00:37.453206,relu,0.017052441719736973,64,0.00011560962845581161,2,160,32.0,,,COMPLETE
100,0.8798669986776979,2026-07-26 11:22:46.376199,2026-07-26 11:23:58.650657,0 days 00:01:12.274458,relu,0.00036438457970210044,64,0.0007974334868273975,2,128,352.0,,,COMPLETE
101,0.8679138455820319,2026-07-26 11:23:58.681245,2026-07-26 11:24:27.574606,0 days 00:00:28.893361,relu,0.00494791520445861,64,0.002080477359392876,2,96,384.0,,,COMPLETE
102,0.8795938332821369,2026-07-26 11:24:27.601863,2026-07-26 11:25:02.136254,0 days 00:00:34.534391,relu,0.002856627648215252,64,0.001738228654110242,2,128,288.0,,,COMPLETE
103,0.8647002389217485,2026-07-26 11:25:02.179071,2026-07-26 11:25:24.071642,0 days 00:00:21.892571,relu,0.007947068086264187,64,0.002443423988591239,2,96,224.0,,,COMPLETE
104,0.8757233533116568,2026-07-26 11:25:24.108674,2026-07-26 11:25:42.168493,0 days 00:00:18.059819,relu,4.481003088311754e-05,64,0.001450293689112796,2,128,128.0,,,COMPLETE
105,0.8834829941642175,2026-07-26 11:25:42.196367,2026-07-26 11:43:45.942840,0 days 00:18:03.746473,relu,0.0007193709712306765,64,0.003384259291243871,2,160,352.0,,,COMPLETE
106,0.8655276837171133,2026-07-26 11:43:45.970876,2026-07-26 11:44:40.557334,0 days 00:00:54.586458,relu,0.012691051199309331,64,0.001066239324462759,2,128,320.0,,,COMPLETE
107,0.874049762610092,2026-07-26 11:44:40.588882,2026-07-26 11:46:16.799611,0 days 00:01:36.210729,tanh,0.0012368224932551915,64,0.0004610823442551931,2,192,384.0,,,COMPLETE
108,0.8221060886798103,2026-07-26 11:46:16.834368,2026-07-26 11:46:36.745688,0 days 00:00:19.911320,relu,0.00014777003442370228,256,0.00017192610800281416,1,256,,,,COMPLETE
109,0.8710055361026889,2026-07-26 11:46:36.772338,2026-07-26 11:47:04.286410,0 days 00:00:27.514072,relu,9.85612636469538e-06,512,0.0009295018514227279,2,64,288.0,,,COMPLETE
